Sigla;Código;Município;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;Região;Microrregião
SC;4203154;Calmon;4493,501338;5236,186648;3462,120294;2760,789329;4123,359291;3539,815031;4922,42317;4954,747252;5245,020015;4740,784677;4660,808309;7288,259642;SUL;Joaçaba
SC;4203204;Camboriú;2790,277101;2991,131359;2828,866888;2764,354532;2951,588692;2854,18919;3029,38165;3172,274071;3382,113318;3610,3105;3721,261857;3983,441238;SUL;Itajaí
SC;4203303;Campo Alegre;5929,646286;6234,612947;5644,901145;6460,655389;6453,454532;6796,527847;6013,522656;5737,407087;6325,751691;6370,826411;7005,978179;7507,273863;SUL;São Bento do Sul
SC;4203402;Campo Belo do Sul;3667,354802;3740,962031;4719,153197;5363,385218;5895,623571;5552,467385;4864,367244;4560,730369;5426,073187;5459,098383;5645,602378;6102,837808;SUL;Campos de Lages
SC;4203501;Campo Erê;6487,724732;6681,78926;6777,104062;7661,049251;10282,11351;10756,40681;8260,58908;9030,231438;9052,230447;10362,56805;9312,933233;8732,055837;SUL;Chapecó
SC;4203600;Campos Novos;7716,162174;8371,658529;8858,021462;9065,402182;10073,15548;8925,283366;8401,66651;8047,141729;10342,44263;10851,08947;13151,84523;11737,13261;SUL;Curitibanos
SC;4203709;Canelinha;4271,51704;4427,919189;4067,382061;3689,083474;3789,632594;4011,135548;3917,881989;4166,36197;4406,646793;4407,293919;4828,108362;5068,367263;SUL;Tijucas
SC;4203808;Canoinhas;5844,146092;6558,735006;6261,767;7183,813628;7830,827657;8338,441881;7638,348332;7219,504708;7321,931527;7781,865327;7695,843397;8001,804579;SUL;Canoinhas
SC;4203253;Capão Alto;5409,30759;6020,669678;5527,029832;5369,275621;6004,9649;5804,450257;5825,916725;5834,547193;5183,453875;6844,956732;6836,142391;8772,382023;SUL;Campos de Lages
SC;4203907;Capinzal;15223,28624;15962,01399;16553,48203;15327,88328;14242,35061;14206,66807;13140,58961;11299,66579;15503,58994;15883,86915;14727,00872;12711,88892;SUL;Joaçaba
SC;4203956;Capivari de Baixo;3012,928163;3113,171033;3635,287436;3577,169914;3733,232552;3562,884582;3632,390581;3864,46105;4156,543669;6410,941149;5829,711538;6626,837407;SUL;Tubarão
SC;4204004;Catanduvas;15673,54848;18635,48883;15127,66857;15842,48167;16815,48119;16309,47967;15432,77587;13468,36245;14528,34649;14762,5633;12544,69468;11932,075;SUL;Joaçaba
SC;4204103;Caxambu do Sul;4285,738641;4757,760538;5148,592368;4520,513268;6389,025259;5635,966666;5076,458159;5315,449953;5668,385509;5765,683894;5445,13341;6085,366729;SUL;Chapecó
SC;4204152;Celso Ramos;3674,035076;3874,289598;4146,222917;4866,739681;4959,508264;5201,828367;4531,213998;4758,068418;5299,290627;6352,870238;5740,382603;5922,932629;SUL;Campos de Lages
SC;4204178;Cerro Negro;2687,038579;2656,506778;3019,649424;3377,2943;3464,508003;3157,36653;3267,589391;3140,348931;3108,304161;3575,680661;3559,196672;4092,648659;SUL;Campos de Lages
SC;4204194;Chapadão do Lageado;4664,989128;5362,364918;5501,966711;6778,655564;7068,849662;8242,622659;7288,509879;6888,27699;7134,276661;7931,294893;7945,982408;9789,671128;SUL;Ituporanga
SC;4204202;Chapecó;12516,6886;10014,54489;10487,6892;10755,37233;11051,93387;11107,96148;10562,54428;10435,57535;11985,9625;12941,8877;12039,62845;10087,78706;SUL;Chapecó
SC;4204251;Cocal do Sul;10288,69822;10484,65918;9229,107233;8877,696017;9233,350539;9822,65601;9216,455126;9342,690037;9174,221985;9775,302939;9916,285804;11758,53885;SUL;Criciúma
SC;4204301;Concórdia;11488,83882;13008,27698;11935,69521;11729,00078;11464,04342;11748,20487;12306,95231;10900,81693;11595,77984;12174,88055;11289,16203;11787,65915;SUL;Concórdia
SC;4204350;Cordilheira Alta;11806,50083;12124,04726;11394,28669;13988,41734;15295,68276;16069,75908;16576,94791;16960,04105;19701,66681;21312,5662;17649,45153;16390,05852;SUL;Chapecó
SC;4204400;Coronel Freitas;4250,470431;4824,709804;4712,462763;4733,242879;5292,727082;5732,165619;6453,4858;6262,919746;6722,840193;8046,906211;7590,715523;7400,46789;SUL;Chapecó
SC;4204459;Coronel Martins;3712,812992;3894,493344;4334,645082;4670,246668;6555,183756;6736,331633;6557,93951;6122,680294;5488,846048;6535,787098;6138,352688;6003,904043;SUL;Xanxerê
SC;4204558;Correia Pinto;13042,60657;14655,57112;11306,52361;12080,09261;11681,30304;10724,8777;8330,382211;9107,920493;12019,26511;11842,83072;11190,47513;11447,60043;SUL;Campos de Lages
SC;4204509;Corupá;4614,949728;5458,788274;5784,34651;5880,087299;6133,074981;7297,208861;7392,699056;6874,364509;7355,888299;7254,65955;7294,288374;7740,395237;SUL;Joinville
SC;4204608;Criciúma;6719,841534;7168,390309;7150,445122;7084,656719;6930,848846;7232,899904;7199,806291;7509,73089;7661,136795;7724,14562;8166,281626;8274,898163;SUL;Criciúma
SC;4204707;Cunha Porã;5479,381751;6558,815714;6662,578127;8379,514249;10225,00352;10712,01884;14665,57471;8562,839906;9162,393038;10923,43577;10099,99287;10184,78627;SUL;Chapecó
SC;4204756;Cunhataí;4296,555018;4607,176101;4081,021378;4931,311522;6102,681062;6442,106597;6078,28805;4889,761298;5447,830781;6214,384946;5781,548098;6326,44018;SUL;Chapecó
SC;4204806;Curitibanos;5575,367889;5841,099626;5909,583474;6000,770102;6214,598467;6499,384946;6376,62943;6990,27873;6450,096585;6664,439296;6706,591494;7344,707602;SUL;Curitibanos
SC;4204905;Descanso;3972,854426;5340,892815;5784,643324;6066,932398;6759,659695;6891,544822;6850,446815;6340,437053;6509,166569;7491,416533;7350,495902;6977,400314;SUL;São Miguel do Oeste
SC;4205001;Dionísio Cerqueira;3534,790094;3543,230631;3867,214241;3943,682744;4246,866445;4069,081799;4536,035405;5285,477255;6546,650527;7795,31016;8040,77535;8171,479282;SUL;São Miguel do Oeste
SC;4205100;Dona Emma;4949,345644;5107,249289;4860,602962;5444,447613;5807,243479;5991,165824;6778,195463;6318,458239;5723,149195;6005,567655;6227,24208;6056,902981;SUL;Rio do Sul
SC;4205159;Doutor Pedrinho;4457,670814;4764,811644;4648,385862;4141,230086;4897,077941;4852,317095;4589,578729;4662,536636;4465,753034;4576,111427;5418,789258;5137,730739;SUL;Blumenau
SC;4205175;Entre Rios;2616,021498;2750,185882;2618,622929;2603,403881;3014,891823;3194,344033;3692,328445;3392,297865;3581,22481;3920,713464;3692,955767;3611,023889;SUL;Xanxerê
SC;4205191;Ermo;6549,444537;6933,643936;9026,626798;10490,11527;13037,94668;13732,21332;13007,1038;10735,64507;13107,13628;9727,776562;10564,81586;8093,208176;SUL;Araranguá
SC;4205209;Erval Velho;4891,770744;5311,036469;5312,158009;5665,191753;6706,547484;6581,570295;6307,270986;5945,969156;6099,322048;8017,630508;6427,050459;6221,086372;SUL;Joaçaba
SC;4205308;Faxinal dos Guedes;5237,134804;5907,303948;6817,932056;7209,625813;8458,752266;7967,582576;8398,101364;7595,926986;9258,558508;9960,267951;9570,51615;8846,965663;SUL;Xanxerê
SC;4205357;Flor do Sertão;3442,52998;4006,718156;3770,933657;4097,170692;5538,161019;4922,947131;4764,94378;4454,134701;4787,045793;5119,892429;5223,996721;5059,501854;SUL;Chapecó
SC;4205407;Florianópolis;9893,28052;10403,09946;8701,391894;9267,708245;8850,765695;8871,259896;9565,835695;9713,632549;10016,30297;10453,55243;9807,340412;10387,58482;SUL;Florianópolis
SC;4205431;Formosa do Sul;3757,392444;4045,236811;3669,864562;4294,847111;4695,73492;4752,302701;4939,778721;4709,154673;5523,522901;6267,76319;6021,083365;6372,493003;SUL;Chapecó
SC;4205456;Forquilhinha;14387,01115;17114,84361;14521,32947;9127,516191;9918,453992;11939,46552;10945,46072;9783,225979;11008,4276;12636,73115;11562,3244;12057,18452;SUL;Criciúma
SC;4205506;Fraiburgo;6846,606882;7633,336246;7021,58753;6954,655875;6676,22934;6485,130658;6628,456745;7726,850779;7429,833304;6925,776166;6700,697948;7334,036656;SUL;Joaçaba
SC;4205555;Frei Rogério;7174,652714;7140,826291;7306,187741;5161,537499;6111,073906;4666,870416;4217,0955;5100,47473;5853,844404;8240,17946;8639,024751;8585,965623;SUL;Curitibanos
SC;4205605;Galvão;3786,628409;5022,527888;4802,390061;5920,354961;7001,410495;7876,073781;6601,041639;5446,940432;7276,062462;8081,947447;7352,128248;6538,175821;SUL;Xanxerê
SC;4205704;Garopaba;3795,37363;4014,876331;4399,907648;4299,432915;4692,257041;5015,060785;5255,417761;5758,946413;5212,253596;5212,235932;5718,282656;5593,908589;SUL;Tubarão
SC;4205803;Garuva;3440,935103;3648,686624;4207,213881;4293,308265;5171,694453;6085,465162;6199,510481;7396,765865;8911,001108;9673,5415;9347,170601;10293,85035;SUL;Joinville
SC;4205902;Gaspar;8591,867931;9116,645957;9147,870601;8998,110806;12431,8206;9297,787739;9455,59542;9435,078121;10661,76804;10057,34359;10268,72194;10718,77978;SUL;Blumenau
SC;4206009;Governador Celso Ramos;3177,607331;3259,639658;3576,874541;3602,599162;3682,925522;3654,757475;3765,980681;3958,04004;4272,156313;4301,173663;4466,071794;4853,637313;SUL;Florianópolis
SC;4206108;Grão Pará;5257,353932;5871,262582;5914,822656;6720,881125;6733,907362;7669,017216;8059,699083;6535,861341;8983,395193;8566,02662;8826,076992;7459,929364;SUL;Tubarão
