Sigla;Código;Município;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;Região
MG;3105004;Baldim;2532,978017;2690,840268;2588,731499;2684,788283;2827,557988;2859,962582;2977,224732;3087,77856;3715,420348;3817,61811;3834,347862;3805,158507;SUDESTE
GO;5203104;Baliza;1850,693851;1734,692002;3311,427746;5219,2594;6506,086014;8967,935504;9723,353459;11589,27722;3500,402005;3258,000926;3045,25281;3635,907441;CENTRO-OESTE
SC;4201950;Balneário Arroio do Silva;4016,211024;4301,508575;2146,768666;3957,77783;4019,765643;3755,77375;3876,900621;3919,400213;3743,942581;3671,361701;3796,884517;3835,777599;SUL
SC;4202057;Balneário Barra do Sul;5270,311577;5719,400224;4193,600047;4150,502837;4230,515419;4114,276525;4327,941255;4917,463793;5487,024579;5249,503039;5240,849195;5062,895055;SUL
SC;4202008;Balneário Camboriú;6547,547961;7249,032393;6734,078644;6476,540035;6448,116048;6374,423519;6759,836459;6954,414113;7440,450681;7534,122096;8067,309213;8287,420507;SUL
SC;4202073;Balneário Gaivota;3509,911595;3956,872547;3742,005761;3995,970326;4185,00094;3804,65522;3836,576519;3796,597652;3646,172344;3700,806383;3862,766147;3776,635665;SUL
RS;4301636;Balneário Pinhal;6474,794939;6543,247254;4657,463515;4381,925882;4568,188815;4261,018671;4120,65517;4178,375618;4159,854271;3869,133772;3814,837182;4699,489506;SUL
PR;4102307;Balsa Nova;10458,03027;11918,5309;10728,47136;10198,05173;11368,35223;11654,4497;9885,459843;9993,255577;11086,90442;11339,02956;11459,84267;11465,40057;SUL
SP;3504800;Bálsamo;4657,842874;4275,168487;4850,796427;5348,302343;6137,263705;6122,513437;5840,887399;6584,561349;6682,422736;6727,920267;7205,958934;7586,647196;SUDESTE
MA;2101400;Balsas;6755,091989;7084,176913;6107,578613;5721,580531;6322,961713;6453,677588;7791,995252;5596,788281;4454,023314;5695,894292;6474,191741;5889,151747;NORDESTE
MG;3105103;Bambuí;3762,94496;3870,8259;4339,388241;4418,086555;4393,421742;4616,559234;4815,373047;4624,379796;5117,510992;5182,62224;5499,034045;5770,85348;SUDESTE
CE;2301851;Banabuiú;1582,857126;1657,570897;1412,161495;1466,351507;1732,53345;1832,751482;1849,427286;1863,87241;1920,147606;2371,895563;1997,462628;2139,889214;NORDESTE
SP;3504909;Bananal;3295,578453;3373,708092;3098,860095;3318,190228;3253,673292;3122,792205;4269,331176;3697,175671;3710,597456;3726,45466;3939,125388;4321,450233;SUDESTE
PB;2501500;Bananeiras;1683,091525;1693,316411;1781,541099;1765,046607;1791,910134;1837,916965;1908,738672;1837,415807;1836,513839;1903,570811;2008,965638;2209,725054;NORDESTE
MG;3105202;Bandeira;1741,745773;1835,127476;1643,390586;1852,651417;1886,286969;1859,990206;1937,516862;2001,076402;2162,007987;2259,034439;2243,376507;2434,362106;SUDESTE
MG;3105301;Bandeira do Sul;2808,440277;2667,022966;2768,026889;2593,862244;2451,223008;2761,187476;2624,176167;2838,24089;2703,323842;3014,465564;2842,871454;3257,836343;SUDESTE
SC;4202081;Bandeirante;2415,894524;2528,210172;3113,911902;3132,016786;4215,982402;4712,233155;4739,280282;3961,546544;4343,189143;4965,461023;5138,568464;5769,620399;SUL
MS;5001508;Bandeirantes;5517,656902;6027,819818;6853,438798;6672,96982;7550,648576;7867,169458;6208,037077;6199,627819;7486,520127;8017,083051;8832,029891;7803,169609;CENTRO-OESTE
PR;4102406;Bandeirantes;4349,468595;4283,310804;3927,74384;4257,111699;4499,506734;4684,4639;4184,653593;4310,512895;4690,569284;4400,254362;4292,48767;4653,099554;SUL
TO;1703057;Bandeirantes do Tocantins;6755,229245;6637,65593;5955,896865;6654,641407;7741,638347;10137,72896;7725,321464;7793,398605;7762,678852;9627,072982;8517,792938;7775,484894;NORTE
PA;1501253;Bannach;6226,825751;7572,382938;6583,953124;6993,738243;7275,328345;7109,096714;6092,436167;6170,999708;4901,431032;4277,101036;3780,480089;4633,074836;NORTE
BA;2902658;Banzaê;1020,542729;1103,009872;1026,341034;1183,368933;1214,066576;1219,989176;1277,591324;1406,500931;1645,225859;1567,715633;1602,517057;1633,422705;NORDESTE
RS;4301651;Barão;4318,892006;4302,802139;4893,673371;4875,012223;4530,608347;4690,739126;4755,7387;4920,03413;5289,630078;5654,857065;7183,781136;8037,672308;SUL
SP;3505005;Barão de Antonina;3555,480014;4015,735236;3923,833936;4842,330938;4777,398097;4761,380347;4126,072619;4541,28779;4272,168824;4302,124766;4169,30745;4400,7088;SUDESTE
MG;3105400;Barão de Cocais;5750,738098;6283,785458;5744,742283;6006,688354;6208,799007;8196,71617;9427,399119;9722,703229;8617,379627;8960,543339;8375,856203;10966,468;SUDESTE
RS;4301701;Barão de Cotegipe;4757,549093;4660,299868;4617,138458;4545,523505;6521,74239;5375,626583;4888,71288;5579,765341;6683,445186;6658,0958;6669,99707;8032,650305;SUL
MA;2101509;Barão de Grajaú;1074,013737;1072,543904;1065,152322;1081,556501;1087,675188;1088,588242;1237,299716;1298,142444;1435,335325;1598,144005;2066,250994;1946,808767;NORDESTE
MT;5101605;Barão de Melgaço;2659,937377;3196,24172;2560,901078;3204,514709;3404,090249;3438,246685;3787,343929;4008,522862;3346,960681;3452,671263;3663,296198;3979,711888;CENTRO-OESTE
MG;3105509;Barão de Monte Alto;2418,612316;2217,199937;2449,799652;2282,811543;2371,364722;2403,846961;2424,777392;2341,940759;2922,776891;3061,319269;3001,101895;2917,968443;SUDESTE
RS;4301750;Barão do Triunfo;3591,604033;3574,485791;3952,360738;4554,11719;5203,174776;5669,524822;4173,098364;4101,634648;4274,814498;4380,573936;4733,442615;4252,149934;SUL
PB;2501534;Baraúna;1777,748992;2629,33719;1498,342406;1740,148903;1806,002937;1651,638541;1693,793752;2033,861073;1975,975492;2263,934731;2005,183341;2012,544541;NORDESTE
RN;2401453;Baraúna;2414,837956;2117,481491;2200,016493;4963,914492;4626,374106;4223,170396;3021,740733;3450,312668;3314,283101;2403,416865;2598,530546;3821,541644;NORDESTE
MG;3105608;Barbacena;4802,133994;5022,919077;4634,475534;4954,535625;4920,233304;5349,446097;5091,943529;4966,072115;5455,791385;5536,511474;4880,095307;5298,131854;SUDESTE
CE;2301901;Barbalha;2357,40019;2337,524767;2484,713469;2393,152682;2102,464642;2191,040491;2207,920246;2356,485308;2646,602048;2879,99464;3221,742427;3664,971561;NORDESTE
